Politician,Transaction Date,Ticker,Asset Name,Type,Amount,Filed Date,Owner,Comment
Sen. Bernie Moreno (R-OH),2025-12-19,,BOFA FINANCE LLC,Purchase,"$1,001 - $15,000",2026-01-09,Self,
Sen. Bernie Moreno (R-OH),2025-12-17,CM,Canadian Imperial Bank of Commerce,Purchase,"$1,001 - $15,000",2026-01-09,Self,
Rep. Jonathan Jackson (D-IL),2025-12-10,MELI,MercadoLibre Inc,Sale,"$15,001 - $50,000",2026-01-09,Joint,"Price: $1,970.73"
Rep. Jonathan Jackson (D-IL),2025-12-08,NFLX,Netflix Inc,Sale,"$50,001 - $100,000",2026-01-09,Joint,Price: $96.79
Rep. Jonathan Jackson (D-IL),2025-12-22,PLTR,Palantir Technologies Inc,Purchase,"$15,001 - $50,000",2026-01-09,Joint,Price: $193.98
Rep. Jonathan Jackson (D-IL),2025-12-22,HOOD,Robinhood Markets Inc,Sale,"$15,001 - $50,000",2026-01-09,Joint,Price: $122.37
Rep. Jonathan Jackson (D-IL),2025-12-08,SHOP,Shopify Inc,Purchase,"$50,001 - $100,000",2026-01-09,Joint,Price: $158.41
Rep. Jonathan Jackson (D-IL),2025-12-10,THC,Tenet Healthcare Corp,Purchase,"$15,001 - $50,000",2026-01-09,Joint,Price: $197.47
Rep. David Rouzer (R-NC),2025-12-09,BA,Boeing Co,Sale,"$1,001 - $15,000",2026-01-08,Undisclosed,Price: $200.37
Rep. Mike Kelly (R-PA),2025-12-01,,STATE OF CALIFORNIA,Sale,"$1,001 - $15,000",2026-01-08,Spouse,
Rep. Lisa McClain (R-MI),2025-12-15,,xAI PVT,Purchase,"$100,001 - $250,000",2026-01-08,Spouse,
Rep. Tim Moore (R-NC),2025-12-31,CBRL,Cracker Barrel Old Country Store Inc,Purchase,"$15,001 - $50,000",2026-01-08,Undisclosed,Price: $25.40
